"VGG16, Adam, lr: 0.001, bs: 32"
epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
5,0.485380619764328,0.001,1.7786189317703247,0.5533596873283386,1.6718635559082031
6,0.5076828598976135,0.001,1.7158071994781494,0.5794466137886047,1.590503454208374
7,0.5226973295211792,0.001,1.6544207334518433,0.582608699798584,1.555202841758728
8,0.5387654900550842,0.001,1.6096937656402588,0.5944663882255554,1.5384480953216553
9,0.5648432970046997,0.001,1.557618498802185,0.6086956262588501,1.4684507846832275
10,0.5701115131378174,0.001,1.5274564027786255,0.6213438510894775,1.4360606670379639
11,0.574765145778656,0.001,1.4967693090438843,0.6189723610877991,1.4416345357894897
12,0.5895162224769592,0.001,1.4613187313079834,0.6371541619300842,1.40484619140625
13,0.596277117729187,0.001,1.4410948753356934,0.633992075920105,1.3974415063858032
14,0.5987356305122375,0.001,1.4131273031234741,0.6521739363670349,1.3593666553497314
